date,pe,pb,roe
2025-01-02,7.87435191,0.99444432,
2025-01-03,7.81068627,0.98640405,
2025-01-06,7.81689756,0.98718847,
2025-01-07,7.79049961,0.9838547,
2025-01-08,7.81068627,0.98640405,
2025-01-09,7.73459808,0.97679494,
2025-01-10,7.60105553,0.95992998,
2025-01-13,7.545154,0.95287023,
2025-01-14,7.66472116,0.96797026,
2025-01-15,7.62590065,0.96306765,
2025-01-16,7.64764014,0.96581311,
2025-01-17,7.6678268,0.96836246,
2025-01-20,7.73459808,0.97679494,
2025-01-21,7.74857346,0.97855988,
2025-01-22,7.60105553,0.95992998,
2025-01-23,7.82155602,0.98777678,
2025-01-24,7.89764421,0.99738588,
2025-01-27,7.89609139,0.99718978,
2025-02-05,7.72062269,0.97503001,
2025-02-06,7.80292217,0.98542353,
2025-02-07,7.90074985,0.99777809,
2025-02-10,7.90385549,0.9981703,
2025-02-11,7.84484832,0.99071834,
2025-02-12,7.93180626,1.00170018,
2025-02-13,7.92248934,1.00052355,
2025-02-14,8.02808112,1.01385864,
2025-02-17,8.04982061,1.01660409,
2025-02-18,7.96752113,1.00621057,
2025-02-19,7.98926061,1.00895603,
2025-02-20,7.88522165,0.99581705,
2025-02-21,7.9504401,1.00405343,
2025-02-24,8.07466573,1.01974176,
2025-02-25,7.91627806,0.99973913,
2025-02-26,8.01565856,1.0122898,
2025-02-27,8.01565856,1.0122898,
2025-02-28,7.82310884,0.98797288,
2025-03-03,7.81534474,0.98699236,
2025-03-04,7.77652423,0.98208976,
2025-03-05,7.82310884,0.98797288,
2025-03-06,8.0187642,1.01268201,
2025-03-07,7.99702471,1.00993655,
2025-03-10,7.95820421,1.00503395,
2025-03-11,7.99702471,1.00993655,
2025-03-12,7.942676,1.00307291,
2025-03-13,7.94112318,1.0028768,
2025-03-14,8.30293032,1.04856908,
2025-03-17,8.28895494,1.04680414,
2025-03-18,8.34796211,1.0542561,
2025-03-19,8.39609954,1.06033533,
2025-03-20,7.54978172,1.02935087,
2025-03-21,7.44334548,1.01483916,
2025-03-24,7.49800193,1.02229112,
2025-03-25,7.47355036,1.01895734,
2025-03-26,7.43903049,1.01425084,
2025-03-27,7.48793363,1.02091839,
2025-03-28,7.47355036,1.01895734,
2025-03-31,7.42608555,1.000491,
2025-04-01,7.42464722,1.00029722,
2025-04-02,7.45916708,1.00494797,
2025-04-03,7.40451063,0.99758429,
2025-04-07,6.98451896,0.94100025,
2025-04-08,7.0852019,0.95456492,
2025-04-09,7.03773709,0.94817015,
2025-04-10,7.11684511,0.9588281,
2025-04-11,7.09814685,0.95630895,
2025-04-14,7.11684511,0.9588281,
2025-04-15,7.16718657,0.96561043,
2025-04-16,7.17437821,0.96657934,
2025-04-17,7.21465138,0.97200521,
2025-04-18,7.25492456,0.97743107,
2025-04-21,7.23191132,0.97433058,
2025-04-22,7.27362282,0.97995022,
2025-04-23,7.29232108,0.98246938,
2025-04-24,7.36711411,0.99254599,
2025-04-25,7.38293572,0.99467758,
2025-04-28,7.97634256,0.9923522,
2025-04-29,7.94363348,0.9882828,
2025-04-30,7.8984638,0.98266316,
2025-05-06,7.91248198,0.98440719,
2025-05-07,7.97166984,0.99177086,
2025-05-08,8.0931607,1.00688578,
2025-05-09,8.06045162,1.00281638,
2025-05-12,8.19284551,1.01928776,
2025-05-13,8.17103946,1.01657482,
2025-05-14,8.51837873,1.05978797,
2025-05-15,8.44984542,1.05126161,
2025-05-16,8.31589395,1.03459645,
2025-05-19,8.30187578,1.03285242,
2025-05-20,8.36106363,1.0402161,
2025-05-21,8.38754241,1.04351037,
2025-05-22,8.38598484,1.04331659,
2025-05-23,8.29097275,1.03149595,
2025-05-26,8.31745153,1.03479023,
2025-05-27,8.31745153,1.03479023,
2025-05-28,8.3003182,1.03265864,
2025-05-29,8.33614243,1.0371156,
2025-05-30,8.29876063,1.03246486,
2025-06-03,8.38754241,1.04351037,
2025-06-04,8.37352424,1.04176634,
2025-06-05,8.40934846,1.04622331,
2025-06-06,8.3190091,1.03498401,
2025-06-09,8.36729393,1.04099122,
2025-06-10,8.32212425,1.03537157,
2025-06-11,8.4825545,1.05533101,
2025-06-12,8.53706963,1.06211334,
2025-06-13,8.48566965,1.05571857,
