date,pe,pb,roe
2025-01-02,96.17425983,2.69324569,
2025-01-03,93.57237492,2.620383,
2025-01-06,91.28080655,2.55621036,
2025-01-07,92.04466267,2.57760124,
2025-01-08,90.01566985,2.52078171,
2025-01-09,92.8562598,2.60032905,
2025-01-10,92.09240368,2.57893817,
2025-01-13,92.54594325,2.591639,
2025-01-14,93.30979937,2.61302989,
2025-01-15,92.02079217,2.57693277,
2025-01-16,91.32854756,2.55754729,
2025-01-17,93.02335333,2.6050083,
2025-01-20,92.78464829,2.59832365,
2025-01-21,90.77952597,2.54217259,
2025-01-22,89.77696481,2.51409706,
2025-01-23,88.89375617,2.48936385,
2025-01-24,89.1085907,2.49538004,
2025-01-27,89.13246121,2.4960485,
2025-02-05,90.56469144,2.5361564,
2025-02-06,93.16657635,2.6090191,
2025-02-07,92.68916628,2.59564979,
2025-02-10,92.56981376,2.59230747,
2025-02-11,91.37628857,2.55888422,
2025-02-12,91.66273461,2.5669058,
2025-02-13,93.33366988,2.61369835,
2025-02-14,91.90143965,2.57359045,
2025-02-17,89.99179935,2.52011324,
2025-02-18,87.96280652,2.46329371,
2025-02-19,88.32086408,2.47332069,
2025-02-20,88.32086408,2.47332069,
2025-02-21,87.98667703,2.46396218,
2025-02-24,88.05828854,2.46596757,
2025-02-25,86.17251874,2.41315884,
2025-02-26,86.17251874,2.41315884,
2025-02-27,85.36092161,2.39043102,
2025-02-28,83.83320936,2.34764926,
2025-03-03,84.45384246,2.36502935,
2025-03-04,85.9576842,2.40714265,
2025-03-05,85.9338137,2.40647418,
2025-03-06,86.12477773,2.4118219,
2025-03-07,90.49307993,2.53415101,
2025-03-10,90.61243244,2.53749333,
2025-03-11,92.37884973,2.58695975,
2025-03-12,91.51951159,2.56289501,
2025-03-13,92.30723821,2.58495435,
2025-03-14,92.16401519,2.58094356,
2025-03-17,91.5672526,2.56423194,
2025-03-18,91.01823101,2.54885724,
2025-03-19,90.70791446,2.54016719,
2025-03-20,90.3021159,2.52880329,
2025-03-21,89.60987128,2.5094178,
2025-03-24,88.77440365,2.48602153,
2025-03-25,87.98667703,2.46396218,
2025-03-26,88.10602955,2.4673045,
2025-03-27,87.60474897,2.45326674,
2025-03-28,87.34217342,2.44591362,
2025-03-31,86.43509428,2.41885392,
2025-04-01,87.77184249,2.45626232,
2025-04-02,102.52868113,2.21043568,
2025-04-03,101.2892894,2.1837154,
2025-04-07,98.22179486,2.11758269,
2025-04-08,101.04141105,2.17837134,
2025-04-09,106.27784113,2.29126455,
2025-04-10,106.46374989,2.29527259,
2025-04-11,105.90602361,2.28324846,
2025-04-14,106.52571947,2.29660861,
2025-04-15,104.44973832,2.25185213,
2025-04-16,105.87503881,2.28258046,
2025-04-17,106.27784113,2.29126455,
2025-04-18,105.31731253,2.27055633,
2025-04-21,106.06094757,2.2865885,
2025-04-22,105.99897799,2.28525249,
2025-04-23,104.60466229,2.25519216,
2025-04-24,102.86951386,2.21778376,
2025-04-25,103.52019452,2.23181191,
2025-04-28,101.56815254,2.18972746,
2025-04-29,101.53716775,2.18905946,
2025-04-30,122.63376327,2.19106348,
2025-05-06,124.39101536,2.22245981,
2025-05-07,128.76545143,2.30061665,
2025-05-08,131.53218877,2.35004918,
2025-05-09,127.86813121,2.28458448,
2025-05-12,134.22414943,2.3981457,
2025-05-13,129.96187839,2.32199288,
2025-05-14,128.87761646,2.30262067,
2025-05-15,127.53163613,2.27857241,
2025-05-16,126.33520917,2.25719619,
2025-05-19,127.53163613,2.27857241,
2025-05-20,127.34469442,2.27523238,
2025-05-21,128.16723795,2.28992854,
2025-05-22,127.12036436,2.27122434,
2025-05-23,126.74648094,2.26454426,
2025-05-26,127.23252939,2.27322836,
2025-05-27,126.03610243,2.25185213,
2025-05-28,125.88654906,2.2491801,
2025-05-29,130.93397529,2.33936107,
2025-05-30,132.57906236,2.36875338,
2025-06-03,132.65383904,2.37008939,
2025-06-04,131.23308203,2.34470512,
2025-06-05,132.09301391,2.36006929,
2025-06-06,131.79390717,2.35472523,
2025-06-09,134.29892611,2.39948171,
2025-06-10,132.09301391,2.36006929,
2025-06-11,134.22414943,2.3981457,
2025-06-12,134.74758622,2.4074978,
2025-06-13,135.15885799,2.41484587,
2025-06-16,133.62593595,2.38745758,
2025-06-17,133.1398875,2.37877349,
2025-06-18,133.51377092,2.38545356,
2025-06-19,131.9060722,2.35672925,
2025-06-20,130.11143176,2.32466491,
2025-06-23,131.04614032,2.34136509,
2025-06-24,131.83129551,2.35539324,
2025-06-25,135.8692365,2.42753801,
2025-06-26,135.42057639,2.41952192,
2025-06-27,135.94401318,2.42887402,
2025-06-30,144.09467184,2.58436911,
2025-07-01,142.07570134,2.54815844,
2025-07-02,139.45851737,2.50121868,
2025-07-03,139.12202229,2.49518356,
2025-07-04,139.34635234,2.49920697,
2025-07-07,139.08463395,2.494513,
2025-07-08,139.72023577,2.50591265,
2025-07-09,137.66387693,2.46903141,
2025-07-10,137.21521682,2.4609846,
2025-07-11,138.56119715,2.48512504,
2025-07-14,137.02827511,2.45763176,
2025-07-15,137.58910025,2.46769028,
2025-07-16,137.21521682,2.4609846,
2025-07-17,141.88875963,2.5448056,
2025-07-18,146.30058404,2.62393262,
2025-07-21,145.51542885,2.60985069,
2025-07-22,145.2910988,2.60582729,
2025-07-23,142.52436145,2.55620525,
2025-07-24,149.51598149,2.68160147,
2025-07-25,151.83405873,2.72317669,
2025-07-28,156.17110645,2.80096258,
2025-07-29,160.28382412,2.87472506,
2025-07-30,158.82567877,2.84857291,
2025-07-31,158.37701866,2.84052609,
2025-08-01,154.26430099,2.76676361,
2025-08-04,156.13371811,2.80029201,
2025-08-05,154.22691264,2.76609304,
2025-08-06,156.43282485,2.80565655,
2025-08-07,155.87199971,2.79559803,
2025-08-08,154.7129611,2.77481042,
2025-08-11,155.19900955,2.78352781,
2025-08-12,152.6939906,2.73859975,
2025-08-13,152.50704889,2.73524691,
2025-08-14,147.64656437,2.64807307,
2025-08-15,147.45962266,2.64472023,
2025-08-18,148.61866127,2.66550784,
2025-08-19,145.85192393,2.61588581,
2025-08-20,147.497011,2.6453908,
2025-08-21,148.35694288,2.66081386,
2025-08-22,152.58182558,2.73658805,
2025-08-25,154.97467949,2.7795044,
2025-08-26,152.46966055,2.73457634,
2025-08-27,148.28216619,2.65947273,
2025-08-28,300.10231961,2.6976951,
2025-08-29,301.1466727,2.70708306,
2025-09-01,300.10231961,2.6976951,
2025-09-02,296.4470838,2.66483727,
2025-09-03,285.55597302,2.56693434,
2025-09-04,277.79792151,2.49719527,
2025-09-05,279.21525784,2.50993606,
2025-09-08,280.33420758,2.51999458,
2025-09-09,277.64872821,2.49585413,
2025-09-10,277.35034161,2.49317186,
2025-09-11,281.90073721,2.53407651,
2025-09-12,282.12452716,2.53608821,
2025-09-15,279.58824109,2.5132889,
2025-09-16,276.38058517,2.48445448,
2025-09-17,276.38058517,2.48445448,
2025-09-18,275.63461868,2.4777488,
2025-09-19,283.84025009,2.55151128,
2025-09-22,280.55799753,2.52200629,
2025-09-23,282.9450903,2.54346446,
2025-09-24,284.36242663,2.55620525,
2025-09-25,279.66283774,2.51395947,
2025-09-26,295.40273071,2.65544932,
2025-09-29,301.07207605,2.70641249,
2025-09-30,314.6486662,2.8256417,
2025-10-09,317.70712881,2.85310763,
2025-10-10,314.051893,2.82028249,
2025-10-13,320.61639813,2.87923376,
2025-10-14,317.11035562,2.84774842,
2025-10-15,316.28979248,2.84037952,
2025-10-16,313.00753991,2.81090388,
2025-10-17,300.92288275,2.70237994,
2025-10-20,299.80393301,2.69233143,
2025-10-21,299.13256317,2.68630232,
2025-10-22,294.73136087,2.64677818,
2025-10-23,291.82209155,2.62065204,
2025-10-24,298.75957992,2.68295282,
2025-10-27,296.89466369,2.6662053,
2025-10-28,298.75957992,2.68295282,
2025-10-29,297.71522683,2.67357421,
2025-10-30,295.55192401,2.65414708,
2025-10-31,430.29386179,2.61797244,
2025-11-03,428.64227327,2.60792393,
2025-11-04,422.3662369,2.56973958,
2025-11-05,424.89867263,2.5851473,
2025-11-06,436.68000406,2.65682669,
2025-11-07,431.3949208,2.62467145,
2025-11-10,436.01936865,2.65280728,
2025-11-11,428.31195557,2.60591422,
2025-11-12,419.61358938,2.55299206,
2025-11-13,419.28327167,2.55098236,
2025-11-14,415.20935333,2.52619603,
2025-11-17,413.22744711,2.51413781,
2025-11-18,411.90617629,2.506099,
2025-11-19,413.88808251,2.51815722,
2025-11-20,407.72215205,2.48064277,
2025-11-21,402.54717469,2.44915743,
2025-11-24,414.87903562,2.52418632,
2025-11-25,410.80511728,2.49939999,
2025-11-26,409.70405827,2.49270098,
2025-11-27,409.37374057,2.49069128,
2025-11-28,409.37374057,2.49069128,
2025-12-01,411.35564679,2.5027495,
2025-12-02,406.95141074,2.47595346,
2025-12-03,403.75833961,2.45652634,
2025-12-04,403.75833961,2.45652634,
2025-12-05,407.28172844,2.47796317,
