date,pe,pb,roe
2025-04-21,306.34047942,1.56012486,
2025-04-22,304.6290801,1.55140908,
2025-04-23,302.91768077,1.5426933,
2025-04-24,301.20628144,1.53397752,
2025-04-25,306.34047942,1.56012486,
2025-04-28,304.6290801,1.55140908,
2025-04-29,324.05914749,1.53397752,
2025-04-30,318.53541202,1.50783017,
2025-05-06,336.94786358,1.59498799,
2025-05-07,336.94786358,1.59498799,
2025-05-08,335.10661843,1.58627221,
2025-05-09,331.42412811,1.56884064,
2025-05-12,333.26537327,1.57755642,
2025-05-13,331.42412811,1.56884064,
2025-05-14,333.26537327,1.57755642,
2025-05-15,333.26537327,1.57755642,
2025-05-16,331.42412811,1.56884064,
2025-05-19,329.58288296,1.56012486,
2025-05-20,329.58288296,1.56012486,
2025-05-21,327.7416378,1.55140908,
2025-05-22,324.05914749,1.53397752,
2025-05-23,322.21790233,1.52526174,
2025-05-26,322.21790233,1.52526174,
2025-05-27,322.21790233,1.52526174,
2025-05-28,320.37665718,1.51654596,
2025-05-29,322.21790233,1.52526174,
2025-05-30,320.37665718,1.51654596,
2025-06-03,318.53541202,1.50783017,
2025-06-04,324.05914749,1.53397752,
2025-06-05,322.21790233,1.52526174,
2025-06-06,322.21790233,1.52526174,
2025-06-09,329.58288296,1.56012486,
2025-06-10,325.90039265,1.5426933,
2025-06-11,336.94786358,1.59498799,
2025-06-12,338.78910874,1.60370377,
2025-06-13,333.26537327,1.57755642,
2025-06-16,335.10661843,1.58627221,
2025-06-17,333.26537327,1.57755642,
2025-06-18,325.90039265,1.5426933,
2025-06-19,320.37665718,1.51654596,
2025-06-20,320.37665718,1.51654596,
2025-06-23,322.21790233,1.52526174,
2025-06-24,325.90039265,1.5426933,
2025-06-25,329.58288296,1.56012486,
2025-06-26,325.90039265,1.5426933,
2025-06-27,325.90039265,1.5426933,
2025-06-30,329.58288296,1.55757762,
2025-07-01,329.58288296,1.55757762,
2025-07-02,336.94786358,1.59238382,
2025-07-03,335.10661843,1.58368227,
2025-07-04,333.26537327,1.57498072,
2025-07-07,331.42412811,1.56627917,
2025-07-08,338.78910874,1.60108537,
2025-07-09,335.10661843,1.58368227,
2025-07-10,349.83657968,1.65329468,
2025-07-11,384.82023764,1.81862415,
2025-07-14,390.34397311,1.8447288,
2025-07-15,373.77276671,1.76641484,
2025-07-16,368.24903124,1.74031019,
2025-07-17,370.09027639,1.74901174,
