date,pe,pb,roe
2025-01-02,110.34958834,1.76339954,
2025-01-03,107.00566142,1.7099632,
2025-01-06,106.09368135,1.69538965,
2025-01-07,106.70166806,1.70510535,
2025-01-08,106.39767471,1.7002475,
2025-01-09,105.78968799,1.6905318,
2025-01-10,104.87770792,1.67595825,
2025-01-13,106.09368135,1.69538965,
2025-01-14,111.86955512,1.78768879,
2025-01-15,113.08552855,1.80712019,
2025-01-16,116.12546211,1.85569869,
2025-01-17,115.82146875,1.85084084,
2025-01-20,114.60549533,1.83140944,
2025-01-21,113.69351526,1.81683589,
2025-01-22,111.26156841,1.77797309,
2025-01-23,110.95757505,1.77311524,
2025-01-24,111.56556176,1.78283094,
2025-01-27,110.95757505,1.77311524,
2025-02-05,109.43760827,1.74882599,
2025-02-06,110.34958834,1.76339954,
2025-02-07,112.47754183,1.79740449,
2025-02-10,112.17354848,1.79254664,
2025-02-11,110.65358169,1.76825739,
2025-02-12,112.47754183,1.79740449,
2025-02-13,111.56556176,1.78283094,
2025-02-14,110.65358169,1.76825739,
2025-02-17,110.65358169,1.76825739,
2025-02-18,108.82962156,1.73911029,
2025-02-19,110.04559498,1.75854169,
2025-02-20,109.43760827,1.74882599,
2025-02-21,109.74160163,1.75368384,
2025-02-24,111.26156841,1.77797309,
2025-02-25,111.26156841,1.77797309,
2025-02-26,112.17354848,1.79254664,
2025-02-27,114.90948868,1.83626729,
2025-02-28,114.90948868,1.83626729,
2025-03-03,113.69351526,1.81683589,
2025-03-04,113.99750861,1.82169374,
2025-03-05,114.30150197,1.82655159,
2025-03-06,116.42945546,1.86055654,
2025-03-07,116.12546211,1.85569869,
2025-03-10,115.82146875,1.85084084,
2025-03-11,116.73344882,1.86541439,
2025-03-12,114.60549533,1.83140944,
2025-03-13,113.3895219,1.81197804,
2025-03-14,114.60549533,1.83140944,
2025-03-17,116.12546211,1.85569869,
2025-03-18,114.90948868,1.83626729,
2025-03-19,115.21348204,1.84112514,
2025-03-20,115.5174754,1.84598299,
2025-03-21,113.69351526,1.81683589,
2025-03-24,113.08552855,1.80712019,
2025-03-25,112.47754183,1.79740449,
2025-03-26,112.47754183,1.79740449,
2025-03-27,112.17354848,1.79254664,
2025-03-28,110.95757505,1.77311524,
2025-03-31,110.04559498,1.74457323,
2025-04-01,109.74160163,1.73975397,
2025-04-02,109.74160163,1.73975397,
2025-04-03,110.65358169,1.75421176,
2025-04-07,100.01381422,1.58553755,
2025-04-08,103.6617345,1.64336871,
2025-04-09,113.99750861,1.80722365,
2025-04-10,113.99750861,1.80722365,
2025-04-11,114.90948868,1.82168144,
2025-04-14,114.30150197,1.81204291,
2025-04-15,91.20282066,1.76385028,
2025-04-16,90.95363263,1.75903102,
2025-04-17,90.45525656,1.74939249,
2025-04-18,90.45525656,1.74939249,
2025-04-21,89.95688049,1.73975397,
2025-04-22,90.45525656,1.74939249,
