date,open,high,low,close,volume
2025-01-02,7.47,7.53,7.16,7.2,319356492.0
2025-01-03,7.24,7.27,7.08,7.16,203436642.0
2025-01-06,7.16,7.18,6.99,7.18,184451145.0
2025-01-07,7.18,7.22,7.1,7.2,133056822.0
2025-01-08,7.2,7.29,7.16,7.22,182623200.0
2025-01-09,7.22,7.22,7.04,7.1,165301092.0
2025-01-10,7.1,7.16,6.97,7.1,182781783.0
2025-01-13,7.06,7.06,6.93,6.97,182133547.0
2025-01-14,6.99,7.1,6.95,7.08,163693392.0
2025-01-15,7.1,7.26,7.08,7.12,150281884.0
2025-01-16,7.18,7.26,7.14,7.2,134736580.0
2025-01-17,7.2,7.24,7.1,7.16,108879698.0
2025-01-20,7.18,7.29,7.1,7.26,184295893.0
2025-01-21,7.27,7.35,7.22,7.29,144764800.0
2025-01-22,7.28,7.32,7.18,7.24,178225747.0
2025-01-23,7.28,7.7,7.28,7.68,363403427.0
2025-01-24,7.72,7.74,7.44,7.68,246552659.0
2025-01-27,7.62,7.76,7.62,7.68,132591300.0
2025-02-05,7.66,7.7,7.44,7.5,169207585.0
2025-02-06,7.5,7.6,7.44,7.48,132654741.0
2025-02-07,7.5,7.52,7.42,7.44,143701433.0
2025-02-10,7.44,7.52,7.4,7.44,124356076.0
2025-02-11,7.44,7.5,7.42,7.44,114279742.0
2025-02-12,7.46,7.48,7.4,7.46,106927888.0
2025-02-13,7.44,7.52,7.44,7.48,119883016.0
2025-02-14,7.48,7.52,7.42,7.5,108469216.0
2025-02-17,7.5,7.52,7.44,7.5,131226179.0
2025-02-18,7.48,7.68,7.48,7.62,186885103.0
2025-02-19,7.62,7.68,7.56,7.6,115642673.0
2025-02-20,7.6,7.68,7.58,7.64,112933585.0
2025-02-21,7.64,7.66,7.52,7.52,141694620.0
2025-02-24,7.5,7.54,7.44,7.48,114839250.0
2025-02-25,7.46,7.52,7.38,7.42,117128251.0
2025-02-26,7.42,7.5,7.4,7.44,104918188.0
2025-02-27,7.44,7.54,7.4,7.52,133807510.0
2025-02-28,7.5,7.54,7.46,7.46,114321199.0
2025-03-03,7.46,7.48,7.36,7.44,148152370.0
2025-03-04,7.44,7.48,7.4,7.46,105108215.0
2025-03-05,7.44,7.64,7.44,7.64,173409716.0
2025-03-06,7.64,7.66,7.52,7.54,126893477.0
2025-03-07,7.56,7.6,7.5,7.54,98022589.0
2025-03-10,7.52,7.54,7.4,7.42,151509470.0
2025-03-11,7.4,7.44,7.38,7.44,103188398.0
2025-03-12,7.44,7.52,7.38,7.5,113094398.0
2025-03-13,7.5,7.56,7.48,7.54,108972091.0
2025-03-14,7.56,7.74,7.54,7.66,206197194.0
2025-03-17,7.7,7.74,7.66,7.68,119728311.0
2025-03-18,7.72,7.72,7.62,7.66,91608400.0
2025-03-19,7.66,7.76,7.62,7.74,104877675.0
2025-03-20,7.74,7.8,7.7,7.74,82827738.0
2025-03-21,7.72,7.76,7.58,7.62,116712000.0
2025-03-24,7.62,7.66,7.6,7.62,105539191.0
2025-03-25,7.64,7.68,7.62,7.66,94522292.0
2025-03-26,7.66,7.68,7.54,7.56,116432052.0
2025-03-27,7.56,7.66,7.56,7.62,105962215.0
2025-03-28,7.62,7.64,7.54,7.58,94331011.0
2025-03-31,7.56,7.58,7.38,7.5,184880222.0
2025-04-01,7.48,7.52,7.34,7.42,216926312.0
2025-04-02,7.4,7.6,7.4,7.56,219359243.0
2025-04-03,7.5,7.62,7.5,7.58,112041579.0
2025-04-07,7.44,7.46,6.96,7.12,344035545.0
2025-04-08,7.08,7.26,7.08,7.26,265379613.0
2025-04-09,7.24,7.26,7.08,7.24,196489606.0
2025-04-10,7.28,7.3,7.18,7.22,155333343.0
2025-04-11,7.24,7.26,7.2,7.24,112520470.0
2025-04-14,7.26,7.38,7.24,7.34,138313256.0
2025-04-15,7.34,7.42,7.32,7.38,161945364.0
2025-04-16,7.4,7.56,7.36,7.52,235531539.0
2025-04-17,7.54,7.58,7.4,7.58,148806980.0
2025-04-18,7.54,7.6,7.5,7.56,105446100.0
2025-04-21,7.54,7.62,7.44,7.46,123941295.0
2025-04-22,7.46,7.6,7.44,7.58,133076801.0
2025-04-23,7.58,7.6,7.5,7.5,102892093.0
2025-04-24,7.5,7.66,7.5,7.64,142348274.0
2025-04-25,7.64,7.68,7.54,7.56,121316876.0
2025-04-28,7.58,7.74,7.56,7.72,171663803.0
2025-04-29,7.72,7.78,7.66,7.72,108913612.0
2025-04-30,7.7,7.72,7.48,7.5,177445288.0
2025-05-06,7.54,7.54,7.44,7.48,135279971.0
2025-05-07,7.58,7.68,7.54,7.68,179725589.0
2025-05-08,7.66,7.74,7.64,7.68,94504381.0
2025-05-09,7.68,7.78,7.66,7.74,114513143.0
2025-05-12,7.78,7.84,7.7,7.74,117643450.0
2025-05-13,7.76,7.84,7.7,7.84,108376227.0
2025-05-14,7.82,7.98,7.78,7.94,164401165.0
2025-05-15,7.92,8.0,7.9,7.94,108015888.0
2025-05-16,7.94,7.96,7.78,7.86,99516700.0
2025-05-19,7.88,7.98,7.84,7.86,92320223.0
2025-05-20,7.88,7.94,7.84,7.86,92463940.0
2025-05-21,7.88,7.96,7.86,7.92,83017995.0
2025-05-22,7.92,8.04,7.86,8.04,113955356.0
2025-05-23,8.04,8.08,7.92,7.94,103259758.0
2025-05-26,7.92,7.98,7.84,7.86,115052741.0
2025-05-27,7.86,7.94,7.84,7.9,96712310.0
2025-05-28,7.88,7.92,7.78,7.86,92444052.0
2025-05-29,7.86,7.88,7.8,7.82,100702700.0
2025-05-30,7.82,7.9,7.8,7.88,129462052.0
2025-06-03,7.86,8.06,7.84,8.0,157406280.0
2025-06-04,8.02,8.1,8.0,8.04,127021108.0
2025-06-05,8.08,8.12,7.94,7.96,111783165.0
2025-06-06,7.98,8.04,7.92,7.94,112135800.0
2025-06-09,7.94,7.96,7.84,7.94,148884124.0
2025-06-10,7.94,8.1,7.92,8.04,190869792.0
2025-06-11,8.04,8.1,8.0,8.08,109797397.0
2025-06-12,8.08,8.14,8.02,8.12,103361524.0
2025-06-13,8.12,8.15,7.98,7.98,147463359.0
2025-06-16,8.0,8.1,7.96,8.1,114288936.0
2025-06-17,8.1,8.14,8.04,8.08,106162590.0
2025-06-18,8.1,8.15,8.04,8.14,125959588.0
2025-06-19,8.12,8.15,8.04,8.1,107572956.0
2025-06-20,8.1,8.29,8.08,8.25,154025637.0
2025-06-23,8.23,8.43,8.12,8.39,191447910.0
2025-06-24,8.37,8.45,8.27,8.43,166827492.0
2025-06-25,8.41,8.45,8.27,8.41,161870380.0
2025-06-26,8.39,8.53,8.31,8.49,163950721.0
2025-06-27,8.47,8.61,8.19,8.23,291002055.0
2025-06-30,8.19,8.27,8.17,8.23,151249836.0
2025-07-01,8.25,8.37,8.23,8.33,126264409.0
2025-07-02,8.35,8.45,8.33,8.37,127187300.0
2025-07-03,8.37,8.45,8.33,8.43,127722600.0
2025-07-04,8.43,8.73,8.41,8.69,223699384.0
2025-07-07,8.69,8.83,8.67,8.81,152668929.0
2025-07-08,8.81,8.87,8.71,8.75,130874601.0
2025-07-09,8.77,8.85,8.73,8.79,112119041.0
2025-07-10,8.77,8.93,8.75,8.81,206705007.0
2025-07-11,8.81,8.93,8.61,8.61,284352532.0
2025-07-14,8.63,8.85,8.61,8.71,198209474.0
2025-07-15,8.73,8.79,8.55,8.63,154702824.0
2025-07-16,8.65,8.67,8.49,8.55,175665864.0
