code,name,final_value,total_return_pct,sharpe_ratio,max_drawdown_pct,annual_return_pct,total_trades,win_count,lose_count,win_rate_pct,buy_signals,sell_signals,avg_hold_days,best_trade_pct,worst_trade_pct,stage_3_reached,avg_stage,signal_distribution,data_start,data_end,data_bars,error,signals,trade_log
sz.000999,2000-03-09,1003004.56,0.3,-22.482,6.12,0.3,1,1,0,100.0,3,1,23.0,0.3,0.3,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=31.74)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '均线多头排列', 'price': 27.3167, 'stage': 1, 'stage_name': '试仓(3400股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '确认加仓', 'price': 29.3935, 'stage': 2, 'stage_name': '确认(加8700股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '趋势满仓', 'price': 29.3935, 'stage': 3, 'stage_name': '满仓(加14600股)'}, {'date': '2023-04-19', 'type': 'sell', 'signal': '移动止损(最高=31.74)', 'price': 29.3776, 'stage': 3}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-04-20', 'entry_price': 29.143112359550564, 'exit_stage': 3, 'pnl': 3004.56, 'return_pct': 0.3, 'hold_days': 16}]"
sz.002179,2007-11-01,1002885.41,0.29,-23.434,0.12,0.29,1,1,0,100.0,1,1,5.0,0.29,0.29,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-04-04', 'type': 'buy', 'signal': '红杏出墙', 'price': 39.0741, 'stage': 1, 'stage_name': '试仓(2400股)'}, {'date': '2023-04-10', 'type': 'sell', 'signal': '空头排列下跌', 'price': 40.5513, 'stage': 1}]","[{'entry_date': '2023-04-06', 'exit_date': '2023-04-11', 'entry_price': 39.0814, 'exit_stage': 1, 'pnl': 2885.41, 'return_pct': 0.29, 'hold_days': 3}]"
sh.601838,2018-01-31,1002784.96,0.28,-24.3,0.23,0.28,1,1,0,100.0,2,1,6.0,0.28,0.28,0,2.0,"{'红杏出墙': 1, '确认加仓': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-04-13', 'type': 'buy', 'signal': '红杏出墙', 'price': 10.9816, 'stage': 1, 'stage_name': '试仓(8600股)'}, {'date': '2023-04-18', 'type': 'buy', 'signal': '确认加仓', 'price': 11.506, 'stage': 2, 'stage_name': '确认(加22400股)'}, {'date': '2023-04-19', 'type': 'sell', 'signal': '空头排列下跌', 'price': 11.4818, 'stage': 2}]","[{'entry_date': '2023-04-14', 'exit_date': '2023-04-20', 'entry_price': 11.401347096774193, 'exit_stage': 2, 'pnl': 2784.96, 'return_pct': 0.28, 'hold_days': 4}]"
sh.601898,2008-02-01,1002536.3,0.25,-26.739,0.4,0.25,1,1,0,100.0,2,1,6.0,0.25,0.25,0,2.0,"{'红杏出墙': 1, '确认加仓': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-04-17', 'type': 'buy', 'signal': '红杏出墙', 'price': 7.1631, 'stage': 1, 'stage_name': '试仓(13200股)'}, {'date': '2023-04-20', 'type': 'buy', 'signal': '确认加仓', 'price': 7.6934, 'stage': 2, 'stage_name': '确认(加33500股)'}, {'date': '2023-04-21', 'type': 'sell', 'signal': '空头排列下跌', 'price': 7.5804, 'stage': 2}]","[{'entry_date': '2023-04-18', 'exit_date': '2023-04-24', 'entry_price': 7.519680728051391, 'exit_stage': 2, 'pnl': 2536.3, 'return_pct': 0.25, 'hold_days': 4}]"
sz.000776,1997-06-11,1002427.67,0.24,-27.961,0.1,0.24,1,1,0,100.0,1,1,4.0,0.24,0.24,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-31', 'type': 'buy', 'signal': '红杏出墙', 'price': 14.2192, 'stage': 1, 'stage_name': '试仓(6600股)'}, {'date': '2023-04-06', 'type': 'sell', 'signal': '空头排列下跌', 'price': 14.6611, 'stage': 1}]","[{'entry_date': '2023-04-03', 'exit_date': '2023-04-07', 'entry_price': 14.2373, 'exit_stage': 1, 'pnl': 2427.67, 'return_pct': 0.24, 'hold_days': 3}]"
sz.002594,2011-06-30,1001950.61,0.2,-34.941,0.05,0.19,1,1,0,100.0,1,1,4.0,0.2,0.2,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-29', 'type': 'buy', 'signal': '红杏出墙', 'price': 79.9504, 'stage': 1, 'stage_name': '试仓(1100股)'}, {'date': '2023-03-31', 'type': 'sell', 'signal': '空头排列下跌', 'price': 82.6358, 'stage': 1}]","[{'entry_date': '2023-03-30', 'exit_date': '2023-04-03', 'entry_price': 80.6928, 'exit_stage': 1, 'pnl': 1950.61, 'return_pct': 0.2, 'hold_days': 2}]"
sz.300896,2020-09-28,1001611.44,0.16,-42.417,0.06,0.16,1,1,0,100.0,1,1,5.0,0.16,0.16,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-28', 'type': 'buy', 'signal': '红杏出墙', 'price': 373.8388, 'stage': 1, 'stage_name': '试仓(200股)'}, {'date': '2023-03-31', 'type': 'sell', 'signal': '空头排列下跌', 'price': 378.7258, 'stage': 1}]","[{'entry_date': '2023-03-29', 'exit_date': '2023-04-03', 'entry_price': 372.7949, 'exit_stage': 1, 'pnl': 1611.44, 'return_pct': 0.16, 'hold_days': 3}]"
sz.000001,1991-04-03,1001599.33,0.16,-42.742,0.11,0.16,1,1,0,100.0,1,1,3.0,0.16,0.16,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-04-14', 'type': 'buy', 'signal': '红杏出墙', 'price': 10.4012, 'stage': 1, 'stage_name': '试仓(9100股)'}, {'date': '2023-04-19', 'type': 'sell', 'signal': '空头排列下跌', 'price': 10.5323, 'stage': 1}]","[{'entry_date': '2023-04-17', 'exit_date': '2023-04-20', 'entry_price': 10.3766, 'exit_stage': 1, 'pnl': 1599.33, 'return_pct': 0.16, 'hold_days': 3}]"
sh.600221,1999-11-25,1001425.66,0.14,-48.019,0.12,0.14,1,1,0,100.0,1,1,3.0,0.14,0.14,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-31', 'type': 'buy', 'signal': '红杏出墙', 'price': 1.76, 'stage': 1, 'stage_name': '试仓(53900股)'}, {'date': '2023-04-04', 'type': 'sell', 'signal': '空头排列下跌', 'price': 1.79, 'stage': 1}]","[{'entry_date': '2023-04-03', 'exit_date': '2023-04-06', 'entry_price': 1.76, 'exit_stage': 1, 'pnl': 1425.66, 'return_pct': 0.14, 'hold_days': 2}]"
sh.688472,2023-06-09,1001096.56,0.11,-62.604,0.13,0.11,1,1,0,100.0,1,1,2.0,0.11,0.11,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-06-09,2026-08-13,771,,"[{'date': '2023-11-03', 'type': 'buy', 'signal': '红杏出墙', 'price': 12.8225, 'stage': 1, 'stage_name': '试仓(7400股)'}, {'date': '2023-11-07', 'type': 'sell', 'signal': '空头排列下跌', 'price': 13.0545, 'stage': 1}]","[{'entry_date': '2023-11-06', 'exit_date': '2023-11-08', 'entry_price': 12.8708, 'exit_stage': 1, 'pnl': 1096.56, 'return_pct': 0.11, 'hold_days': 2}]"
