date,pe,pb,roe
2025-01-02,40.9982679,8.1117643,
2025-01-03,40.29783155,7.97317858,
2025-01-06,39.62468492,7.8399923,
2025-01-07,38.98792461,7.71400528,
2025-01-08,38.79689651,7.67620917,
2025-01-09,38.4603232,7.60961603,
2025-01-10,38.20561907,7.55922123,
2025-01-13,38.4603232,7.60961603,
2025-01-14,39.10618009,7.73740287,
2025-01-15,38.62406157,7.6420127,
2025-01-16,38.11465331,7.54122308,
2025-01-17,38.57857869,7.63301362,
2025-01-20,38.31477798,7.580819,
2025-01-21,38.51490266,7.62041492,
2025-01-22,37.38692724,7.39723791,
2025-01-23,37.45060327,7.40983662,
2025-01-24,37.34144436,7.38823884,
2025-01-27,37.2868649,7.37743995,
2025-02-05,36.85022925,7.29104885,
2025-02-06,37.2868649,7.37743995,
2025-02-07,38.06917043,7.53222401,
2025-02-10,37.98730125,7.51602568,
2025-02-11,37.13222311,7.34684311,
2025-02-12,37.477893,7.41523606,
2025-02-13,37.35054093,7.39003866,
2025-02-14,37.5142793,7.42243532,
2025-02-17,37.50518272,7.4206355,
2025-02-18,37.15951284,7.35224255,
2025-02-19,37.2504786,7.3702407,
2025-02-20,37.41421696,7.40263736,
2025-02-21,37.71440397,7.46203124,
2025-02-24,37.65982451,7.45123235,
2025-02-25,36.89571213,7.30004793,
2025-02-26,36.78655322,7.27845015,
2025-02-27,37.49608615,7.41883569,
2025-02-28,37.39602381,7.39903773,
2025-03-03,36.84113268,7.28924904,
2025-03-04,36.80474637,7.28204978,
2025-03-05,36.71378061,7.26405163,
2025-03-06,37.41421696,7.40263736,
2025-03-07,37.29596148,7.37923977,
2025-03-10,36.70468404,7.26225182,
2025-03-11,37.22318887,7.36484125,
2025-03-12,36.5682354,7.2352546,
2025-03-13,36.55004225,7.23165497,
2025-03-14,37.83265946,7.48542883,
2025-03-17,38.26019853,7.57002011,
2025-03-18,37.70530739,7.46023142,
2025-03-19,37.70530739,7.46023142,
2025-03-20,37.10493338,7.34144366,
2025-03-21,36.45907649,7.21365683,
2025-03-24,36.71378061,7.26405163,
2025-03-25,36.82293953,7.28564941,
2025-03-26,36.86842241,7.29464848,
2025-03-27,37.59614848,7.43863365,
2025-03-28,37.27776832,7.37564014,
2025-03-31,36.91390529,6.81775082,
2025-04-01,37.00487104,6.83455159,
2025-04-02,37.15041626,6.86143282,
2025-04-03,35.64708917,6.83287151,
2025-04-07,34.44628976,6.60270102,
2025-04-08,36.11163201,6.92191557,
2025-04-09,36.97936297,7.08824316,
2025-04-10,36.98812793,7.08992323,
2025-04-11,36.84788858,7.06304201,
2025-04-14,36.94430314,7.08152285,
2025-04-15,37.47896565,7.18400752,
2025-04-16,38.06621792,7.29657265,
2025-04-17,38.06621792,7.29657265,
2025-04-18,36.93553818,7.07984277,
2025-04-21,36.95306809,7.08320293,
2025-04-22,36.97936297,7.08824316,
2025-04-23,36.65505948,7.02608032,
2025-04-24,37.2949015,7.14872591,
2025-04-25,36.81282875,7.0563217,
2025-04-28,36.16422176,6.93199603,
2025-04-29,35.62423574,7.13360522,
2025-04-30,35.17117198,7.04288109,
2025-05-06,35.05371101,7.01936002,
2025-05-07,36.25349097,7.25961097,
2025-05-08,35.75008679,7.15880637,
2025-05-09,35.57389533,7.12352476,
2025-05-12,35.6913563,7.14704584,
2025-05-13,35.28024289,7.06472208,
2025-05-14,35.67457616,7.14368568,
2025-05-15,36.20315055,7.24953051,
2025-05-16,35.72491658,7.15376614,
2025-05-19,36.00178888,7.20920867,
2025-05-20,36.06051937,7.22096921,
2025-05-21,36.81562563,7.3721761,
2025-05-22,36.86596605,7.38225656,
2025-05-23,37.22673905,7.45449985,
2025-05-26,37.5707319,7.52338299,
2025-05-27,37.35259009,7.479701,
2025-05-28,38.08252615,7.62586767,
2025-05-29,37.44488086,7.49818184,
2025-05-30,37.2686894,7.46290024,
2025-06-03,37.25190926,7.45954008,
2025-06-04,37.05893765,7.42089832,
2025-06-05,36.1612002,7.24113013,
2025-06-06,35.93466832,7.19576806,
2025-06-09,35.33897338,7.07648262,
2025-06-10,35.00337059,7.00927956,
2025-06-11,35.01176066,7.01095963,
2025-06-12,34.64259759,6.93703626,
2025-06-13,34.45801606,6.90007458,
2025-06-16,33.66095944,6.7404673,
2025-06-17,33.9210516,6.79254967,
2025-06-18,33.75325021,6.75894814,
2025-06-19,34.09008594,6.8263981,
2025-06-20,33.93148641,6.7946392,
2025-06-23,33.86980882,6.78228852,
2025-06-24,34.34560739,6.87756521,
2025-06-25,34.76853944,6.96225559,
2025-06-26,34.31917413,6.87227206,
2025-06-27,34.15176353,6.83874878,
2025-06-30,34.28392979,5.79832266,
2025-07-01,34.4513404,5.82663623,
2025-07-02,34.27511871,5.79683247,
2025-07-03,34.29274088,5.79981285,
2025-07-04,34.23987437,5.79087172,
2025-07-07,34.01078617,5.75212682,
2025-07-08,34.25749654,5.79385209,
2025-07-09,34.01078617,5.75212682,
2025-07-10,34.09008594,5.76553851,
2025-07-11,34.09008594,5.76553851,
2025-07-14,33.9402975,5.74020531,
2025-07-15,33.8257534,5.72083287,
2025-07-16,33.81694232,5.71934268,
2025-07-17,33.9402975,5.74020531,
2025-07-18,34.18700786,5.78193059,
2025-07-21,34.3466825,5.80893581,
2025-07-22,34.87645139,5.89853379,
2025-07-23,34.81464502,5.88808069,
2025-07-24,35.23846012,5.95975908,
2025-07-25,34.71752072,5.87165439,
2025-07-28,34.47912472,5.8313353,
2025-07-29,34.32019406,5.80445591,
2025-07-30,34.61156694,5.8537348,
2025-07-31,33.86106103,5.72680432,
2025-08-01,33.63149451,5.68797853,
2025-08-04,33.7815957,5.71336463,
2025-08-05,33.90520844,5.73427082,
2025-08-06,33.86106103,5.72680432,
2025-08-07,33.86106103,5.72680432,
2025-08-08,33.7815957,5.71336463,
2025-08-11,33.98467377,5.74771052,
2025-08-12,34.04648014,5.75816362,
2025-08-13,34.07296858,5.76264352,
2025-08-14,34.23189925,5.78952291,
2025-08-15,34.33785302,5.80744251,
2025-08-18,34.71752072,5.87165439,
2025-08-19,34.66454383,5.8626946,
2025-08-20,34.8676219,5.89704049,
2025-08-21,35.09718842,5.93586628,
2025-08-22,35.18548323,5.95079928,
2025-08-25,36.2891684,6.13746174,
2025-08-26,36.26267996,6.13298184,
2025-08-27,35.67110471,6.03293076,
2025-08-28,35.3885613,5.98514517,
2025-08-29,35.63508218,6.18823393,
2025-09-01,35.44589979,6.15538134,
2025-09-02,35.20512221,6.11356894,
2025-09-03,34.55158306,6.00007817,
2025-09-04,34.75796384,6.03591736,
2025-09-05,34.77516224,6.03890396,
2025-09-08,35.4029038,6.14791484,
2025-09-09,35.54049099,6.17180763,
2025-09-10,35.21372141,6.11506224,
2025-09-11,35.50609419,6.16583443,
2025-09-12,34.95574543,6.07026325,
2025-09-15,35.11913022,6.09863595,
2025-09-16,34.68057105,6.02247766,
2025-09-17,34.64617425,6.01650446,
2025-09-18,34.21621428,5.94183948,
2025-09-19,34.22481348,5.94333278,
2025-09-22,33.9754367,5.90002709,
2025-09-23,33.79485351,5.86866779,
2025-09-24,33.36489355,5.79400281,
2025-09-25,33.19290956,5.76413682,
2025-09-26,33.36489355,5.79400281,
2025-09-29,33.43368714,5.80594921,
2025-09-30,33.50248074,5.76407535,
2025-10-09,33.82925031,5.8202958,
2025-10-10,33.77765511,5.81141889,
2025-10-13,33.45088554,5.75519844,
2025-10-14,33.62286953,5.78478815,
2025-10-15,33.9582383,5.84248808,
2025-10-16,34.19901588,5.88391368,
2025-10-17,33.60567113,5.78182918,
2025-10-20,33.48528234,5.76111638,
2025-10-21,33.49388154,5.76259587,
2025-10-22,33.23590555,5.7182113,
2025-10-23,33.21870716,5.71525233,
2025-10-24,33.19290956,5.71081388,
2025-10-27,33.28750075,5.72708822,
2025-10-28,33.02092557,5.68122417,
2025-10-29,32.83170901,5.68714211,
2025-10-30,32.43882175,5.61908578,
2025-10-31,32.54985511,5.63831909,
2025-11-03,32.58401922,5.64423703,
2025-11-04,32.24237812,5.58505761,
2025-11-05,32.19113196,5.5761807,
2025-11-06,32.20821401,5.57913967,
2025-11-07,32.43028072,5.61760629,
2025-11-10,33.01107058,5.7182113,
2025-11-11,32.9854475,5.71377285,
2025-11-12,32.84879106,5.69010108,
2025-11-13,32.96836545,5.71081388,
2025-11-14,32.81462695,5.68418314,
2025-11-17,32.61818333,5.65015497,
2025-11-18,32.43028072,5.61760629,
2025-11-19,32.28508326,5.59245504,
2025-11-20,32.24237812,5.58505761,
2025-11-21,31.84949087,5.51700128,
2025-11-24,31.49930875,5.45634238,
2025-11-25,31.68721135,5.48889106,
2025-11-26,31.45660361,5.44894495,
2025-11-27,31.59326005,5.47261672,
2025-11-28,31.56763697,5.46817826,
2025-12-01,31.73845751,5.49776797,
2025-12-02,31.49076772,5.45486289,
2025-12-03,31.09788046,5.38680656,
2025-12-04,30.93560094,5.35869634,
2025-12-05,31.18329074,5.40160142,
2025-12-08,31.18329074,5.40160142,
2025-12-09,31.14912663,5.39568347,
2025-12-10,31.10642149,5.38828605,
2025-12-11,31.03809327,5.37645016,
2025-12-12,31.16620868,5.39864245,
2025-12-15,31.18329074,5.40160142,
2025-12-16,31.37973436,5.43562958,
2025-12-17,31.62742416,5.47853466,
2025-12-18,31.6103421,5.47557569,
2025-12-19,32.26800121,5.58949607,
2025-12-22,32.3277884,5.59985247,
2025-12-23,32.26800121,5.58949607,
2025-12-24,31.90073703,5.5258782,
2025-12-25,31.94344217,5.53327562,
2025-12-26,31.96052422,5.53623459,
2025-12-29,31.78970368,5.50664488,
2025-12-30,31.84094984,5.5155218,
2025-12-31,31.61888313,5.24163664,
2026-01-05,32.39611662,5.37048292,
2026-01-06,32.78046284,5.43419812,
2026-01-07,32.61818333,5.40729615,
2026-01-08,32.47298586,5.38322596,
2026-01-09,32.36195251,5.36481935,
2026-01-12,32.72921668,5.42570276,
2026-01-13,32.6096423,5.40588025,
2026-01-14,32.27654223,5.35066042,
2026-01-15,32.10572169,5.32234255,
2026-01-16,31.59326005,5.23738896,
2026-01-19,31.48222669,5.21898235,
2026-01-20,31.49930875,5.22181414,
2026-01-21,31.17474971,5.16801019,
2026-01-22,30.86727273,5.11703804,
2026-01-23,30.61104191,5.07456124,
2026-01-26,30.47438547,5.05190695,
2026-01-27,30.24377773,5.01367784,
2026-01-28,29.86797253,4.95137853,
2026-01-29,31.08933944,5.15385126,
2026-01-30,30.14982643,4.99810301,
2026-02-02,30.38043417,5.03633213,
2026-02-03,30.63666499,5.07880892,
2026-02-04,30.98684711,5.13686054,
2026-02-05,32.4217397,5.3747306,
2026-02-06,31.67867032,5.25154789,
2026-02-09,31.73845751,5.26145915,
2026-02-10,31.27724204,5.18500091,
2026-02-11,31.10642149,5.15668305,
2026-02-12,30.69645218,5.08872018,
2026-02-13,30.44022136,5.04624338,
2026-02-24,30.89289581,5.12128572,
2026-02-25,30.64520602,5.08022482,
2026-02-26,30.61104191,5.07456124,
2026-02-27,30.71353423,5.09155196,
2026-03-02,30.44876239,5.04765927,
2026-03-03,30.79894451,5.10571089,
2026-03-04,30.32064698,5.02642087,
