date,open,high,low,close,volume
2025-01-02,93.81,95.09,88.5,89.96,84971056.0
2025-01-03,90.1,91.13,87.53,88.31,61288981.0
2025-01-06,88.84,89.6,85.72,86.94,43831308.0
2025-01-07,87.1,90.75,86.0,90.6,67214796.0
2025-01-08,88.88,91.28,85.99,88.82,68790730.0
2025-01-09,88.4,93.33,88.1,91.32,72416451.0
2025-01-10,90.85,96.68,90.85,93.18,89988928.0
2025-01-13,91.0,95.86,89.88,95.02,68025640.0
2025-01-14,96.95,99.58,94.45,98.77,92888106.0
2025-01-15,97.5,102.29,97.3,99.55,77659234.0
2025-01-16,102.18,104.46,96.6,96.6,103477465.0
2025-01-17,96.51,104.77,96.51,102.7,109403228.0
2025-01-20,102.98,103.0,100.3,101.05,59667259.0
2025-01-21,101.5,104.35,101.1,101.84,74435300.0
2025-01-22,101.3,103.22,99.5,100.24,61641241.0
2025-01-23,102.8,103.87,96.7,96.84,86850578.0
2025-01-24,97.16,98.62,96.77,97.85,47198275.0
2025-01-27,98.38,98.39,93.9,93.94,52844572.0
2025-02-05,100.16,102.84,99.44,101.37,97756780.0
2025-02-06,100.11,106.43,99.66,104.43,89396981.0
2025-02-07,104.42,105.27,100.08,102.53,93254065.0
2025-02-10,102.8,104.52,101.01,103.85,66856305.0
2025-02-11,103.6,103.7,100.36,100.86,54448990.0
2025-02-12,101.5,104.44,99.41,104.32,97586005.0
2025-02-13,104.77,104.96,100.89,101.11,69064629.0
2025-02-14,99.96,100.87,98.16,99.08,56713536.0
2025-02-17,99.3,102.45,99.3,101.0,58094181.0
2025-02-18,101.01,101.27,98.17,98.28,50546212.0
2025-02-19,97.95,102.58,97.91,101.94,70074653.0
2025-02-20,101.0,101.4,98.88,99.21,56493994.0
2025-02-21,99.6,105.92,99.6,103.98,123386761.0
2025-02-24,103.0,106.86,102.0,103.4,74722539.0
2025-02-25,100.88,103.94,100.11,101.28,71172236.0
2025-02-26,102.86,105.5,100.06,104.0,88991060.0
2025-02-27,103.13,105.21,100.44,102.44,69790787.0
2025-02-28,101.0,101.59,97.67,97.79,67840823.0
2025-03-03,96.99,98.1,95.18,96.0,49878742.0
2025-03-04,95.0,99.07,94.61,97.28,44469412.0
2025-03-05,97.3,98.2,96.16,97.57,35097289.0
2025-03-06,98.85,100.3,98.37,98.66,56756728.0
2025-03-07,97.6,98.55,96.52,96.88,39398650.0
2025-03-10,96.39,97.29,95.01,95.66,38451869.0
2025-03-11,94.0,96.32,93.8,96.12,30626303.0
2025-03-12,96.5,97.05,95.71,95.9,28639010.0
2025-03-13,95.39,96.08,92.1,92.98,44201076.0
2025-03-14,92.98,95.61,92.5,94.81,40137622.0
2025-03-17,94.89,94.91,93.16,93.37,31205181.0
2025-03-18,93.99,95.8,93.9,94.1,29866634.0
2025-03-19,93.9,94.57,93.5,93.75,23319047.0
2025-03-20,93.8,94.29,93.0,93.27,27204001.0
2025-03-21,92.98,92.98,90.9,91.2,36539914.0
2025-03-24,91.5,91.68,89.81,91.45,29654478.0
2025-03-25,91.45,91.45,89.25,89.87,28338161.0
2025-03-26,90.2,91.2,89.82,90.0,19490835.0
2025-03-27,90.0,93.78,89.37,92.47,45729726.0
2025-03-28,91.54,92.48,90.35,90.4,27440878.0
2025-03-31,90.39,91.7,88.36,89.33,26820455.0
2025-04-01,89.5,89.75,86.19,86.5,41191328.0
2025-04-02,86.38,87.45,85.72,86.85,24056690.0
2025-04-03,85.97,89.2,85.9,88.09,30277366.0
2025-04-07,84.5,86.88,77.8,84.0,85368449.0
2025-04-08,84.0,85.88,83.0,85.0,53816947.0
2025-04-09,84.03,91.58,83.17,90.18,74601350.0
2025-04-10,92.02,92.18,89.82,90.95,52228661.0
2025-04-11,90.86,95.48,90.2,92.9,71343411.0
2025-04-14,93.5,93.54,91.69,92.0,37611854.0
2025-04-15,91.8,91.8,89.68,90.39,27852312.0
2025-04-16,91.0,92.0,89.87,92.0,27925129.0
2025-04-17,91.3,92.38,91.0,91.8,22896965.0
2025-04-18,91.49,91.88,90.53,91.35,13848004.0
2025-04-21,91.34,91.75,90.13,90.51,23221503.0
2025-04-22,90.5,90.88,89.75,90.01,21750489.0
2025-04-23,90.15,90.72,89.85,90.07,21184822.0
2025-04-24,90.15,90.2,88.5,89.1,20881488.0
2025-04-25,89.1,89.55,88.03,88.42,23006791.0
2025-04-28,88.42,89.09,88.0,88.23,14446652.0
2025-04-29,88.02,88.52,87.8,88.0,13110870.0
2025-04-30,88.23,89.41,88.01,89.05,20183053.0
2025-05-06,89.4,90.35,89.25,89.9,23858710.0
2025-05-07,91.46,91.66,89.73,90.5,26342039.0
2025-05-08,90.09,90.09,89.31,89.98,23245156.0
2025-05-09,87.0,87.82,85.72,85.83,58300971.0
2025-05-12,85.9,86.32,84.16,86.32,36837284.0
2025-05-13,87.2,87.3,85.38,85.52,24125902.0
2025-05-14,85.58,86.75,85.28,86.06,23189869.0
2025-05-15,85.8,85.98,84.35,84.42,21551907.0
2025-05-16,84.16,84.78,83.88,84.7,17039389.0
2025-05-19,84.71,85.28,83.72,85.01,16412240.0
2025-05-20,85.4,85.82,85.0,85.04,15483762.0
2025-05-21,84.79,85.15,84.0,84.07,19840598.0
2025-05-22,84.0,84.68,83.71,83.81,13347362.0
2025-05-23,83.8,84.24,82.89,82.9,18562039.0
2025-05-26,83.42,84.68,83.41,84.02,22378126.0
2025-05-27,84.0,84.23,82.95,83.0,14405567.0
2025-05-28,83.14,83.24,82.0,82.01,15766722.0
2025-05-29,82.05,83.49,81.9,83.44,19295585.0
2025-05-30,83.01,83.1,81.94,82.09,14577233.0
2025-06-03,82.2,82.78,81.37,82.47,14113706.0
2025-06-04,82.6,83.32,82.26,83.18,13713352.0
2025-06-05,83.49,84.87,83.03,84.39,24759154.0
2025-06-06,84.33,85.0,83.78,84.56,18634650.0
2025-06-09,84.15,85.08,84.1,84.43,19227453.0
2025-06-10,84.49,84.49,82.02,82.32,25443912.0
2025-06-11,82.46,83.36,82.29,82.91,15435894.0
2025-06-12,82.5,82.88,82.06,82.27,14536968.0
2025-06-13,82.0,83.1,81.71,82.79,22621715.0
2025-06-16,82.3,83.07,82.28,82.96,12509643.0
2025-06-17,82.98,83.13,82.02,82.4,13764726.0
2025-06-18,82.23,82.67,81.66,82.01,14912111.0
2025-06-19,82.0,82.88,81.51,81.65,17728970.0
2025-06-20,81.73,82.59,81.22,81.28,16691409.0
2025-06-23,81.03,85.3,80.9,84.25,45387149.0
2025-06-24,84.25,85.37,84.09,85.15,30936689.0
2025-06-25,85.0,88.53,85.0,88.39,55719038.0
2025-06-26,88.39,89.98,87.2,87.28,38656454.0
2025-06-27,87.58,88.15,86.7,86.88,26165913.0
2025-06-30,88.18,89.63,87.79,88.17,34352802.0
2025-07-01,88.0,88.85,87.65,87.76,21688792.0
2025-07-02,87.5,87.73,85.81,86.1,22557267.0
2025-07-03,86.38,86.73,85.78,86.24,14615027.0
2025-07-04,86.0,87.2,84.86,85.8,25225745.0
2025-07-07,85.69,86.86,85.37,85.48,13534928.0
2025-07-08,85.49,86.85,85.18,86.74,21766848.0
2025-07-09,86.65,86.86,85.52,85.85,18310200.0
2025-07-10,85.61,86.17,85.5,85.67,17563946.0
2025-07-11,85.7,89.34,85.4,88.16,46992238.0
2025-07-14,88.3,88.49,87.47,87.52,18983136.0
2025-07-15,87.15,87.95,86.61,87.89,20617316.0
2025-07-16,87.73,88.2,86.77,87.12,19670851.0
2025-07-17,87.06,89.0,86.32,88.79,28792216.0
2025-07-18,88.75,89.13,87.93,88.51,21995993.0
2025-07-21,88.45,89.52,88.04,89.02,22271915.0
2025-07-22,88.7,90.55,88.5,89.08,29742068.0
2025-07-23,88.9,90.19,88.3,89.39,31654941.0
2025-07-24,89.1,92.9,89.0,91.75,52232453.0
2025-07-25,91.74,93.68,90.99,93.47,44212479.0
2025-07-28,93.64,93.69,91.96,92.18,34264005.0
2025-07-29,92.0,92.63,90.81,92.17,29414208.0
2025-07-30,91.7,91.83,89.74,90.36,31001859.0
2025-07-31,90.32,92.75,89.46,89.5,46198852.0
2025-08-01,89.2,90.33,88.02,88.29,27414033.0
2025-08-04,87.95,90.63,87.88,90.07,28605760.0
2025-08-05,89.85,90.58,89.58,90.0,19567940.0
2025-08-06,89.86,91.0,89.53,90.78,26779787.0
2025-08-07,90.7,91.7,89.75,90.59,31525994.0
2025-08-08,88.0,88.5,86.66,86.66,58473050.0
2025-08-11,86.69,87.18,86.22,86.96,27919314.0
2025-08-12,86.95,90.1,86.42,88.52,55155240.0
2025-08-13,88.01,89.23,88.0,88.66,38430442.0
2025-08-14,88.69,92.58,88.69,89.46,74149226.0
2025-08-15,89.0,93.3,88.48,91.84,69049946.0
2025-08-18,93.5,95.17,91.36,92.31,83342313.0
2025-08-19,91.67,92.48,89.35,89.35,74465214.0
2025-08-20,89.4,92.49,88.19,92.28,85874556.0
2025-08-21,92.3,94.11,90.8,91.05,60682605.0
2025-08-22,92.5,105.0,92.42,103.97,206194809.0
2025-08-25,106.0,109.24,101.1,103.17,176063698.0
2025-08-26,101.0,102.57,100.13,100.93,85607409.0
2025-08-27,102.2,106.69,100.59,101.51,142262071.0
2025-08-28,102.0,119.22,101.99,119.22,242032511.0
2025-08-29,114.0,116.0,112.26,114.76,163967037.0
2025-09-09,102.0,108.65,101.2,102.99,157469570.0
2025-09-10,103.0,105.96,102.13,103.91,103992570.0
2025-09-11,102.62,112.8,99.98,110.28,146750166.0
2025-09-12,109.28,112.49,108.01,108.42,115902204.0
2025-09-15,110.55,112.55,107.5,108.66,94683618.0
2025-09-16,109.0,111.86,108.09,109.78,86625924.0
2025-09-17,110.8,120.8,109.8,117.39,152847561.0
