date,open,high,low,close,volume
2025-01-02,105.9,106.27,102.32,103.0,14327978.0
2025-01-03,103.27,103.46,102.04,102.35,8352744.0
2025-01-06,102.38,103.12,101.79,102.35,7948948.0
2025-01-07,102.35,102.72,100.77,102.07,8596110.0
2025-01-08,102.04,102.22,100.61,101.67,5959100.0
2025-01-09,101.7,101.82,100.83,101.02,5448041.0
2025-01-10,101.2,101.97,100.09,100.09,5398831.0
2025-01-13,99.69,100.46,99.5,100.18,5190210.0
2025-01-14,100.18,102.87,100.12,102.69,8897676.0
2025-01-15,102.5,103.52,102.28,103.09,6765232.0
2025-01-16,103.27,104.11,102.19,102.66,6014383.0
2025-01-17,102.35,103.52,102.1,102.66,4887010.0
2025-01-20,103.37,104.14,102.22,102.32,6954775.0
2025-01-21,102.87,103.27,102.28,102.66,4330351.0
2025-01-22,102.81,103.52,102.44,103.06,6522658.0
2025-01-23,103.58,104.39,102.78,102.81,7579241.0
2025-01-24,102.5,103.21,102.16,103.09,7320198.0
2025-01-27,103.15,103.74,102.47,102.53,7023211.0
2025-02-05,103.12,103.24,101.76,102.07,6013981.0
2025-02-06,101.76,102.66,101.14,102.41,6347730.0
2025-02-07,102.41,103.34,101.97,102.96,8844513.0
2025-02-10,102.93,103.8,102.59,103.52,8542007.0
2025-02-11,103.52,103.71,102.07,102.13,8680747.0
2025-02-12,102.07,102.28,101.54,102.16,7344189.0
2025-02-13,102.04,102.53,101.88,102.07,8039694.0
2025-02-14,101.97,102.28,101.33,102.01,7736518.0
2025-02-17,102.01,102.19,101.57,101.73,8243289.0
2025-02-18,101.73,101.85,100.68,100.8,8900467.0
2025-02-19,100.77,101.02,100.12,100.65,7860066.0
2025-02-20,100.49,100.95,99.93,100.65,6462897.0
2025-02-21,100.58,101.39,100.43,101.17,8956638.0
2025-02-24,101.2,101.97,100.92,101.54,10351934.0
2025-02-25,100.99,101.11,100.18,100.4,9834592.0
2025-02-26,100.49,100.65,99.93,100.55,7226985.0
2025-02-27,100.49,101.67,100.43,101.45,10859087.0
2025-02-28,101.11,101.7,100.03,100.46,8988414.0
2025-03-03,100.46,100.74,99.93,100.12,7149870.0
2025-03-04,99.87,100.18,99.59,100.18,5030810.0
2025-03-05,100.18,100.34,99.41,99.75,6299738.0
2025-03-06,100.0,100.12,99.25,100.03,9528596.0
2025-03-07,99.84,100.06,99.35,99.53,8059100.0
2025-03-10,99.53,99.59,99.13,99.38,6643259.0
2025-03-11,98.98,99.63,98.88,99.63,7415662.0
