date,pe,pb,roe
2025-01-02,534.29470054,2.23196715,
2025-01-03,501.3395156,2.09429989,
2025-01-06,490.12072923,2.04743443,
2025-01-07,503.44303804,2.10308716,
2025-01-08,498.53481901,2.08258352,
2025-01-09,501.3395156,2.09429989,
2025-01-10,491.52307753,2.05329262,
2025-01-13,486.6148585,2.03278898,
2025-01-14,515.36299855,2.1528817,
2025-01-15,504.84538634,2.10894534,
2025-01-16,506.24773463,2.11480352,
2025-01-17,502.74186389,2.10015807,
2025-01-20,502.04068975,2.09722898,
2025-01-21,503.44303804,2.10308716,
2025-01-22,498.53481901,2.08258352,
2025-01-23,548.31818349,2.29054897,
2025-01-24,542.70879031,2.26711624,
2025-01-27,506.24773463,2.11480352,
2025-02-05,515.36299855,2.1528817,
2025-02-06,537.09939713,2.24368351,
2025-02-07,553.92757667,2.31398169,
2025-02-10,560.93931815,2.3432726,
2025-02-11,545.5134869,2.2788326,
2025-02-12,600.20507042,2.50730168,
2025-02-13,616.33207582,2.57467077,
2025-02-14,600.90624457,2.51023077,
2025-02-17,603.00976701,2.51901804,
2025-02-18,574.26162696,2.39892532,
2025-02-19,590.38863235,2.46629441,
2025-02-20,626.14851389,2.61567804,
2025-02-21,627.55086218,2.62153622,
2025-02-24,619.83794656,2.58931622,
2025-02-25,624.74616559,2.60981986,
2025-02-26,626.14851389,2.61567804,
2025-02-27,605.8144636,2.53073441,
2025-02-28,572.15810451,2.39013805,
2025-03-03,579.16984599,2.41942896,
2025-03-04,579.87102014,2.42235805,
2025-03-05,577.7674977,2.41357078,
2025-03-06,586.88276162,2.45164896,
2025-03-07,574.96280111,2.40185441,
2025-03-10,575.66397525,2.40478351,
2025-03-11,570.05458207,2.38135078,
2025-03-12,575.66397525,2.40478351,
2025-03-13,565.14636304,2.36084714,
2025-03-14,571.45693037,2.38720896,
2025-03-17,576.3651494,2.4077126,
2025-03-18,573.56045281,2.39599623,
2025-03-19,567.95105963,2.37256351,
2025-03-20,569.35340792,2.37842169,
2025-03-21,556.73227327,2.32569806,
2025-03-24,546.9158352,2.28469078,
2025-03-25,565.14636304,2.36084714,
2025-03-26,555.32992497,2.31983987,
2025-03-27,555.32992497,2.31983987,
2025-03-28,545.5134869,2.2788326,
2025-03-31,158.18326263,2.22241742,
2025-04-01,160.87486265,2.26023343,
2025-04-02,159.21849341,2.23696204,
2025-04-03,158.18326263,2.22241742,
2025-04-07,142.44775483,2.00133925,
2025-04-08,140.37729328,1.97225002,
2025-04-09,145.96753947,2.05079095,
2025-04-10,147.83095487,2.07697126,
2025-04-11,149.28027795,2.09733372,
2025-04-14,153.2141549,2.15260326,
2025-04-15,150.31550873,2.11187834,
2025-04-16,148.86618564,2.09151587,
2025-04-17,148.24504718,2.0827891,
2025-04-18,148.24504718,2.0827891,
2025-04-21,149.90141642,2.10606049,
2025-04-22,148.65913949,2.08860695,
2025-04-23,149.28027795,2.09733372,
2025-04-24,147.41686255,2.07115341,
2025-04-25,148.03800102,2.07988018,
2025-04-28,147.2098164,2.06824449,
2025-04-29,120.65930717,2.08569803,
2025-04-30,122.51042624,2.11769618,
2025-05-06,126.04438085,2.17878357,
2025-05-07,125.20296308,2.16423896,
2025-05-08,126.2126644,2.1816925,
2025-05-09,123.85669466,2.14096757,
2025-05-12,125.53953019,2.1700568,
2025-05-13,124.02497822,2.14387649,
2025-05-14,124.19326177,2.14678542,
2025-05-15,121.16415782,2.0944248,
2025-05-16,121.33244138,2.09733372,
2025-05-19,123.52012756,2.13514972,
2025-05-20,124.02497822,2.14387649,
2025-05-21,122.84699335,2.12351403,
2025-05-22,121.50072493,2.10024264,
2025-05-23,125.20296308,2.16423896,
2025-05-26,135.13169268,2.33586543,
2025-05-27,129.746619,2.24277989,
2025-05-28,128.23206703,2.21659958,
2025-05-29,128.40035058,2.2195085,
2025-05-30,125.20296308,2.16423896,
2025-06-03,125.70781374,2.17296573,
2025-06-04,125.37124664,2.16714788,
2025-06-05,125.20296308,2.16423896,
2025-06-06,126.2126644,2.1816925,
2025-06-09,126.5492315,2.18751034,
2025-06-10,124.19326177,2.14678542,
2025-06-11,124.19326177,2.14678542,
2025-06-12,123.85669466,2.14096757,
2025-06-13,122.34214269,2.11478726,
2025-06-16,122.51042624,2.11769618,
2025-06-17,124.19326177,2.14678542,
2025-06-18,122.84699335,2.12351403,
2025-06-19,121.16415782,2.0944248,
2025-06-20,121.66900848,2.10315157,
2025-06-23,121.50072493,2.10024264,
2025-06-24,122.51042624,2.11769618,
2025-06-25,123.85669466,2.14096757,
2025-06-26,122.51042624,2.11769618,
2025-06-27,123.0152769,2.12642295,
2025-06-30,124.36154532,2.13146777,
2025-07-01,125.03467953,2.14300481,
2025-07-02,123.85669466,2.12281499,
2025-07-03,123.52012756,2.11704648,
2025-07-04,122.6787098,2.10262518,
2025-07-07,123.18356045,2.11127796,
2025-07-08,124.19326177,2.12858351,
2025-07-09,123.35184401,2.11416222,
2025-07-10,123.68841111,2.11993074,
2025-07-11,123.68841111,2.11993074,
2025-07-14,124.02497822,2.12569925,
2025-07-15,122.84699335,2.10550944,
2025-07-16,123.18356045,2.11127796,
2025-07-17,124.69811243,2.13723629,
2025-07-18,127.05408216,2.17761593,
2025-07-21,131.09288742,2.24683815,
2025-07-22,130.25146966,2.23241686,
2025-07-23,129.57833545,2.22087982,
2025-07-24,130.58803677,2.23818537,
2025-07-25,133.11229005,2.28144927,
2025-07-28,132.10258874,2.26414371,
2025-07-29,139.50706505,2.39105113,
2025-07-30,134.62684203,2.3074076,
2025-07-31,130.92460387,2.24395389,
2025-08-01,132.27087229,2.26702797,
2025-08-04,132.77572295,2.27568075,
2025-08-05,132.9440065,2.27856501,
2025-08-06,134.96340913,2.31317612,
2025-08-07,140.01191571,2.39970391,
2025-08-08,137.48766242,2.35644001,
2025-08-11,140.68504992,2.41124095,
2025-08-12,141.18990058,2.41989372,
2025-08-13,141.69475123,2.4285465,
2025-08-14,139.17049794,2.38528261,
2025-08-15,147.37657845,2.52592895,
2025-08-18,145.86588459,2.50003674,
2025-08-19,145.02661023,2.48565218,
2025-08-20,145.69802972,2.49715983,
2025-08-21,142.84449688,2.44825232,
2025-08-22,145.02661023,2.48565218,
2025-08-25,154.93004773,2.65539,
2025-08-26,150.39796616,2.57771337,
2025-08-27,146.03373947,2.50291365,
2025-08-28,150.90153078,2.58634411,
2025-08-29,148.88727231,2.55182116,
2025-09-01,169.15798989,2.53168277,
2025-09-02,162.43011529,2.43099085,
2025-09-03,157.62449058,2.35906804,
2025-09-04,153.01109085,2.29002215,
2025-09-05,158.00894055,2.36482186,
2025-09-08,157.04781561,2.3504373,
2025-09-09,154.35666577,2.31016053,
2025-09-10,153.77999081,2.30152979,
2025-09-11,156.47114065,2.34180657,
2025-09-12,155.70224069,2.33029892,
2025-09-15,155.70224069,2.33029892,
2025-09-16,157.04781561,2.3504373,
2025-09-17,157.43226559,2.35619113,
2025-09-18,156.47114065,2.34180657,
2025-09-19,156.08669067,2.33605274,
2025-09-22,158.20116554,2.36769878,
2025-09-23,163.77569021,2.45112923,
2025-09-24,170.50356481,2.55182116,
2025-09-25,187.61158878,2.80786635,
2025-09-26,181.46038915,2.71580516,
2025-09-29,178.00033936,2.66402074,
2025-09-30,181.46038915,2.71663322,
2025-10-09,199.52953807,2.98714543,
2025-10-10,201.06733798,3.01016775,
2025-10-13,207.02631262,3.09937922,
2025-10-14,194.91613835,2.91807848,
2025-10-15,192.4172135,2.88066722,
2025-10-16,185.30488892,2.77418901,
2025-10-17,175.50141451,2.62742175,
2025-10-20,176.07808947,2.63605512,
2025-10-21,178.00033936,2.66483301,
2025-10-22,178.19256435,2.6677108,
2025-10-23,176.46253945,2.6418107,
2025-10-24,180.30703922,2.69936649,
2025-10-27,186.65046384,2.79433354,
2025-10-28,182.80596407,2.73677775,
2025-10-29,183.57486403,2.74828891,
2025-10-30,180.49926421,2.70224428,
2025-10-31,173.10910654,2.67922196,
2025-11-03,178.68727324,2.76555564,
2025-11-04,174.78255655,2.70512207,
2025-11-05,174.96849544,2.70799985,
2025-11-06,181.84823437,2.81447806,
2025-11-07,176.82788434,2.73677775,
2025-11-10,174.96849544,2.70799985,
2025-11-11,172.17941209,2.66483301,
2025-11-12,169.01845097,2.61591059,
2025-11-13,170.69190098,2.6418107,
2025-11-14,168.4606343,2.60727722,
2025-11-17,164.55591761,2.54684365,
2025-11-18,163.62622316,2.5324547,
2025-11-19,161.0230787,2.49216565,
2025-11-20,161.20901759,2.49504344,
2025-11-21,154.88709533,2.3971986,
2025-11-24,160.27932314,2.48065449,
2025-11-25,160.09338425,2.4777767,
2025-11-26,165.11373428,2.55547702,
2025-11-27,161.76683426,2.50367681,
2025-11-28,162.69652871,2.51806575,
2025-12-01,161.58089537,2.50079902,
2025-12-02,159.1636898,2.46338775,
2025-12-03,156.74648423,2.42597649,
2025-12-04,158.04805646,2.44612102,
2025-12-05,159.72150647,2.47202112,
2025-12-08,159.90744536,2.47489891,
2025-12-09,158.04805646,2.44612102,
2025-12-10,158.97775091,2.46050996,
2025-12-11,157.67617868,2.44036544,
2025-12-12,164.55591761,2.54684365,
2025-12-15,160.46526203,2.48353228,
2025-12-16,155.63085089,2.40870975,
2025-12-17,155.81678978,2.41158754,
2025-12-18,154.32927866,2.38856523,
2025-12-19,155.63085089,2.40870975,
2025-12-22,156.93242312,2.42885428,
2025-12-23,156.18866756,2.41734312,
2025-12-24,158.60587313,2.45475438,
2025-12-25,160.09338425,2.4777767,
2025-12-26,159.34962869,2.46626554,
2025-12-29,158.04805646,2.44612102,
2025-12-30,157.3043009,2.43460986,
2025-12-31,160.09338425,2.44631378,
2026-01-05,161.76683426,2.47188501,
2026-01-06,163.44028427,2.49745623,
2026-01-07,168.64657319,2.57701115,
2026-01-08,173.29504543,2.64804233,
2026-01-09,172.92316765,2.64235983,
2026-01-12,176.27006767,2.69350228,
2026-01-13,170.13408431,2.59974113,
2026-01-14,172.36535098,2.63383609,
2026-01-15,169.20438986,2.58553489,
2026-01-16,170.3200232,2.60258237,
2026-01-19,172.92316765,2.64235983,
2026-01-20,172.92316765,2.64235983,
2026-01-21,170.50596209,2.60542362,
2026-01-22,174.41067877,2.66508981,
2026-01-23,172.36535098,2.63383609,
2026-01-26,170.3200232,2.60258237,
2026-01-27,166.41530651,2.54291618,
2026-01-28,165.29967317,2.5258687,
2026-01-29,162.8824676,2.48893249,
2026-01-30,161.95277315,2.47472625,
2026-02-02,160.09338425,2.44631378,
2026-02-03,162.51058982,2.48324999,
2026-02-04,162.69652871,2.48609124,
2026-02-05,160.09338425,2.44631378,
2026-02-06,160.09338425,2.44631378,
2026-02-09,163.44028427,2.49745623,
2026-02-10,164.36997872,2.51166247,
2026-02-11,161.95277315,2.47472625,
2026-02-12,163.62622316,2.50029748,
2026-02-13,162.13871204,2.4775675,
2026-02-24,166.41530651,2.54291618,
2026-02-25,165.29967317,2.5258687,
2026-02-26,169.57626764,2.59121738,
2026-02-27,169.20438986,2.58553489,
2026-03-02,165.85748984,2.53439244,
2026-03-03,158.04805646,2.41506006,
2026-03-04,159.90744536,2.44347253,
2026-03-05,175.89818989,2.68781979,
2026-03-06,174.03880099,2.65940732,
2026-03-09,175.34037322,2.67929605,
2026-03-10,175.15443433,2.6764548,
2026-03-11,173.8528621,2.65656607,
2026-03-12,171.80753431,2.62531235,
2026-03-13,167.90281763,2.56564616,
2026-03-16,164.55591761,2.51450371,
2026-03-17,160.27932314,2.44915503,
2026-03-18,161.95277315,2.47472625,
2026-03-19,158.79181202,2.42642505,
2026-03-20,154.88709533,2.36675886,
2026-03-23,148.0073564,2.26163272,
2026-03-24,151.35425642,2.31277517,
2026-03-25,153.39958421,2.34402888,
2026-03-26,150.05268419,2.29288644,
2026-03-27,150.79643975,2.30425142,
2026-03-30,149.49486752,2.28436269,
2026-03-31,102.55133456,2.25350321,
2026-04-01,104.48383458,2.29596873,
2026-04-02,102.16483456,2.24501011,
2026-04-03,99.58816786,2.18838943,
2026-04-07,99.45933452,2.18555839,
2026-04-08,104.74150125,2.30163079,
2026-04-09,102.6801679,2.25633425,
2026-04-10,103.19550124,2.26765838,
2026-04-13,103.0666679,2.26482735,
2026-04-14,103.58200124,2.27615149,
2026-04-15,103.58200124,2.27615149,
2026-04-16,104.74150125,2.30163079,
2026-04-17,103.96850124,2.28464459,
2026-04-20,104.61266792,2.29879976,
2026-04-21,103.58200124,2.27615149,
2026-04-22,103.83966791,2.28181355,
2026-04-23,103.96850124,2.28464459,
2026-04-24,102.16483456,2.24501011,
2026-04-27,103.58200124,2.27615149,
2026-04-28,101.64950122,2.23368597,
2026-04-29,102.29366789,2.24784114,
2026-04-30,97.0089263,2.28747562,
2026-05-06,97.84935017,2.30729286,
2026-05-07,97.84935017,2.30729286,
2026-05-08,97.60922906,2.30163079,
2026-05-11,106.85389159,2.51962043,
2026-05-12,101.93140895,2.40354802,
2026-05-13,109.73534485,2.58756525,
2026-05-14,105.65328607,2.49131008,
2026-05-15,105.89340717,2.49697215,
2026-05-18,108.29461822,2.55359284,
2026-05-19,107.81437601,2.5422687,
2026-05-20,108.89492098,2.56774801,
2026-05-21,104.21255944,2.45733767,
2026-05-22,107.3341338,2.53094456,
2026-05-25,107.21407325,2.52811353,
2026-05-26,104.21255944,2.45733767,
2026-05-27,100.97092453,2.38089975,
2026-05-28,101.33110618,2.38939285,
2026-05-29,96.7688052,2.28181355,
2026-06-01,98.44965293,2.32144803,
2026-06-02,95.92838133,2.26199632,
2026-06-03,95.32807857,2.24784114,
2026-06-04,95.56819967,2.25350321,
2026-06-05,94.12747304,2.2195308,
2026-06-08,88.84480874,2.0949653,
2026-06-09,89.4451115,2.10912047,
2026-06-10,86.56365825,2.04117565,
2026-06-11,85.12293162,2.00720324,
2026-06-12,87.16396101,2.05533082,
2026-06-15,88.12444543,2.07797909,
2026-06-16,88.36456653,2.08364116,
2026-06-17,89.08492984,2.10062737,
2026-06-18,87.76426377,2.06948599,
2026-06-22,89.32505095,2.10628944,
2026-06-23,86.80377935,2.04683772,
2026-06-24,85.48311327,2.01569634,
2026-06-25,84.64268941,1.9958791,
2026-06-26,82.12141781,1.93642738,
2026-06-29,85.00287106,2.0043722,
2026-06-30,84.04238665,1.98172393,
2026-07-01,84.1624472,1.98455497,
2026-07-02,82.60166002,1.94775152,
